Team,Momentum
Virginia,0.09330845107971197
Villanova,-0.05996747526765145
Duke,-0.1847369331038059
Purdue,-0.11349433014059684
Cincinnati,0.07173231173217698
Michigan St.,-0.04381850310442714
Kansas,-0.016262510943625408
North Carolina,-0.020783472676938808
West Virginia,-0.3654121066356527
Xavier,-0.20306025316097054
Gonzaga,0.22702426213952076
Ohio St.,0.10319128088601559
Texas Tech,-0.2750224944966056
Tennessee,0.10892443753067049
Michigan,0.2086953795672688
Florida,-0.14876804558374457
Creighton,-0.2588560665972519
Butler,-0.11347156518899898
Auburn,-0.3370221483275676
Houston,-0.003569388920616756
Kentucky,-0.24126293476138683
Penn St.,0.10869743829816614
Seton Hall,-0.3921642218466476
Clemson,-0.26380643467509046
TCU,-0.32294157063558376
Wichita St.,-0.1528901702541252
Texas A&M,-0.056505602656820586
Miami FL,-0.20702923651605432
Missouri,-0.12832396561496318
Arizona,0.22669334209242853
Kansas St.,0.06120485329410286
Texas,-0.009527615605597395
Maryland,-0.2458057450092101
Louisville,-0.3030117751394297
Oklahoma,-0.5767677061937784
Arkansas,0.03112412584107871
Florida St.,-0.49638042050718323
Saint Mary's,-0.12538397289918535
Nevada,-0.10097598632516325
Virginia Tech,0.053444800516389446
USC,0.10523951654868391
Oklahoma St.,-0.08984388883842714
Baylor,-0.10399443349702103
Marquette,-0.09958572195781545
San Diego St.,0.20963296097490186
Notre Dame,-0.23646954070881482
Arizona St.,-0.6247523091156122
Nebraska,0.28770788444914647
Syracuse,-0.18200066979642637
Rhode Island,-0.11294574655809708
Boise St.,-0.34402734704107774
Davidson,0.5996898746648162
North Carolina St.,0.22858059452203905
New Mexico St.,0.18240958541605423
Middle Tennessee,0.023138588826823736
Mississippi St.,-0.1298154314317847
Alabama,-0.07871524735868718
Providence,-0.028483663491563393
LSU,-0.2517966187311201
Loyola Chicago,0.42047272987592954
UCLA,-0.35973873905840165
Georgia,-0.2373425014844921
South Dakota St.,0.38147331278300844
Utah,-0.13183602701171993
Western Kentucky,-0.09299092292126165
Louisiana,
Old Dominion,0.19395319907205055
St. John's,-0.15852097391711922
Oregon,0.07722098760337892
South Dakota,-0.054024558437885006
Buffalo,0.2574755586092383
Fresno St.,0.2370036144870581
Georgetown,-0.5149525324505737
Indiana,0.11945392491467566
Northwestern,-0.005298508715901984
South Carolina,-0.007513113484774958
Wisconsin,-0.09759175143178439
St. Bonaventure,0.20729600334135379
Murray St.,0.4694855651976634
Boston College,-0.08891685534570815
SMU,-0.5539019963702358
BYU,-0.41573829860216255
Wake Forest,-0.18147216506939073
Illinois,-0.21580227437060404
Iowa St.,-0.34508402521276016
Stanford,0.1852172057656953
Northern Kentucky,-0.044079314938588715
Montana,0.6220158439685028
Belmont,0.17131620028069605
Vanderbilt,0.22156185617136948
Iowa,-0.0991397869784863
DePaul,0.06715053230756717
Temple,0.09318184717366651
Vermont,0.165506650953558
UNC Greensboro,0.6991541098424129
UNLV,-0.446270287402213
Minnesota,-0.6047287117806442
Furman,-0.20979665218702195
East Tennessee St.,-0.3502346041299299
Grand Canyon,0.03865382821677962
Mississippi,-0.5547400195404589
Utah Valley,-0.12145889483973205
Washington,-0.24680660342122945
Georgia St.,0.2911081079966401
Tulsa,0.022955690427663933
Northern Iowa,0.1806768776558461
Oregon St.,-0.1930133495680789
UAB,-0.05594512884647598
Northeastern,0.10158363316437746
Stephen F. Austin,-0.18011923796453932
Colorado,0.019617361901276054
Penn,0.25063668987513577
San Diego,-0.42890235830982
Missouri St.,-0.674083916667469
Bucknell,0.9380234505862647
New Mexico,0.5698950218668852
Northern Colorado,0.08847159102139737
Georgia Tech,0.04924474610397782
Toledo,0.061541419342352854
UCF,-0.32244709196245763
Bradley,-0.13967572113955568
Marshall,0.40446661815440516
UC Santa Barbara,-0.1018366975813784
Saint Joseph's,0.24358908533521478
Rutgers,-0.19158410053229513
Eastern Washington,0.616780588871222
VCU,-0.4949326169225036
Wyoming,-0.050048030318316034
Florida Gulf Coast,0.2771174533514005
La Salle,-0.15676406397602533
Wright St.,-0.12855173431635286
UT Arlington,0.15208570816104944
Evansville,-0.19998523549387273
Dayton,0.0925577053170324
UC Davis,-0.3750874357229279
Louisiana Tech,0.02429941656268338
Utah St.,0.10668339409053079
Indiana St.,-0.07309121056170148
Saint Louis,0.07588490471457737
Southern Illinois,0.254306916378119
Drake,-0.01834323868222179
Idaho,0.44940774373263787
Illinois St.,0.05290345007100469
Harvard,0.647394028016294
Albany,-0.34916917755559707
College of Charleston,0.7621121393576483
Eastern Michigan,0.5777010932328315
San Francisco,0.011840838418814226
Iona,0.21146342883764263
Jacksonville St.,-0.21675836554901415
UC Irvine,0.48679318676550887
Canisius,0.2902561308869433
Mercer,0.4051163647180475
Rider,0.2391906728708108
Georgia Southern,0.10653622355001732
Memphis,0.10312745103083013
Lipscomb,-0.05670194663648517
UTSA,0.5754367511204609
Wofford,-0.47210544054778003
Oakland,-0.6103024016752642
Portland St.,-0.4347154334513175
Princeton,0.07034767730610558
Hofstra,0.0677417569165193
Tulane,-0.7559315680987035
Towson,-0.5030260319784249
Central Michigan,-0.08654443633563218
Valparaiso,-0.05140696048670498
Weber St.,0.05465219479017381
Ball St.,-0.43064793710550436
Seattle,-0.0975045792329175
Troy,0.3047215010083192
William & Mary,-0.5578770957897587
Winthrop,0.2508388966639084
Pacific,0.013093289689034393
North Dakota St.,-0.32547796266564066
Purdue Fort Wayne,
Ohio,-0.24184785333038222
Duquesne,-0.1990738435492704
George Washington,-0.25057436441212855
Cal St. Fullerton,-0.08385857284995446
Austin Peay,-0.15615975989623276
Hawaii,-0.4621309370988447
Liberty,-0.1244429258946087
Connecticut,-0.3034884824421686
Richmond,0.262428396072013
Radford,-0.25300098130947757
Washington St.,-0.17747981769820642
North Texas,-0.030455943387775852
Nicholls St.,0.5283503807785341
Miami OH,0.3023000776359328
Monmouth,-0.34501778558242135
Western Michigan,-0.41478465947498977
UNC Asheville,0.4025973614156587
Wagner,-0.35540237267283836
Southeastern Louisiana,0.414941358810058
Massachusetts,-0.47386921342353094
Yale,0.22098105876639146
UMBC,0.5784738621726062
Long Beach St.,-0.26188764140935916
Southern Miss,0.07545112672227022
Colgate,0.4964011437993615
Appalachian St.,-0.1969950143512046
Illinois Chicago,0.2833221316259573
Coastal Carolina,-0.10158648147585325
Texas St.,0.4625946818486658
Kent St.,0.2623863148262273
Central Arkansas,0.06793758477033429
Lamar,0.11427105318981279
Milwaukee,0.1875787961397999
Denver,1.0287528005974604
FIU,0.2667247244711911
Colorado St.,-0.32907004754213076
Idaho St.,0.035197085722348365
South Alabama,-0.35636247761828166
Louisiana Monroe,0.6771569890569195
Columbia,0.4308053256899821
Fairfield,0.1690821256038647
Tennessee St.,0.06599249509236146
Stony Brook,0.029867650269285173
Pittsburgh,-0.27933821922235536
Saint Francis,
Saint Peter's,-0.09017614406807978
Niagara,0.11871627552641525
George Mason,0.24678865709298795
Akron,0.055309504501694584
Hartford,0.460841485366597
Campbell,0.43307908514894733
Manhattan,-0.040174358829908774
Tennessee Tech,-0.3980917042141532
Bowling Green,-0.2966519512566693
Navy,-0.5090455693610528
James Madison,0.10082824367424736
Delaware,-0.39338337503475107
NJIT,-0.9243574182017049
Sam Houston St.,0.1933447526054931
Oral Roberts,-0.49713020291951004
Air Force,0.4517344615723248
California,-0.20480807717519295
Elon,-0.8759815983240777
Loyola Marymount,0.14850304072943593
UTEP,0.06103993809611202
Eastern Illinois,0.05794886490272855
Cal St. Bakersfield,-0.1183028693251319
High Point,0.010149130074565083
UNC Wilmington,0.31692327458832104
Lehigh,0.030969134832976863
Boston University,-0.4771569286674431
North Dakota,0.10150702405338358
Florida Atlantic,-0.01528254229849435
Brown,-0.5292718606755542
Mount St. Mary's,-0.2823829022271046
Hampton,-1.7092593388642903
Cornell,-0.2006423808749389
Army,-1.496686602600107
Gardner Webb,-0.670337046290479
Texas Southern,-2.9654923323657667
Northern Illinois,-0.21472722848362968
Southern Utah,-0.14840560856178014
Pepperdine,0.22077419738760445
Southeast Missouri St.,-0.4267475822370757
Portland,-0.004360596404999917
Robert Morris,-1.1639700860970246
Montana St.,-0.9766922565881744
LIU Brooklyn,0.4792896066860549
New Hampshire,-0.24428383982631519
Drexel,0.2260239866231712
Charleston Southern,0.6920852142709197
Arkansas St.,0.17860615705727834
Green Bay,0.04633210697219686
North Florida,-0.3683318081498628
Prairie View A&M,-4.477311639446786
UMKC,0.21168658698539178
South Florida,0.30950437038961476
UT Rio Grande Valley,0.01606497059073933
Western Illinois,-0.030914600186903507
Santa Clara,0.40522458229862335
Abilene Christian,-0.4262457182745052
Nebraska Omaha,-0.06424399541573972
Rice,0.1802543134657668
Holy Cross,0.4785814723369391
Lafayette,0.03497863320700234
Fordham,0.0319503400429047
Quinnipiac,0.1616602143830556
UMass Lowell,0.06938515797113975
IU Indy,
Morehead St.,-0.10787936338494664
Siena,-0.7177440365910143
Eastern Kentucky,0.12961756988353001
Fairleigh Dickinson,-0.750752805912948
UC Riverside,-0.29046673286991087
Tennessee Martin,-0.4198119761033666
New Orleans,-0.7067603160667254
Samford,-0.39194490793069836
Binghamton,-0.21978884571607993
McNeese St.,-0.2675534151282345
Little Rock,-0.39173308118330397
Sacramento St.,-0.37135096511028143
Cleveland St.,0.69018842455032
San Jose St.,0.2939862678397821
Central Connecticut,-1.1062412734037461
SIU Edwardsville,-0.6498087019982699
Dartmouth,0.2666963110624073
Youngstown St.,-0.12321703116839178
Bethune Cookman,-2.7428870491959265
East Carolina,0.7179914968197335
Chattanooga,-0.21628865226997007
Sacred Heart,-1.4588952945117326
Western Carolina,-0.1733389985924993
Marist,-0.12369727603245473
St. Francis NY,0.01797850482060992
Stetson,-1.1207002351956512
Grambling St.,-0.2784503631961258
Detroit Mercy,
The Citadel,0.09369097655112724
Charlotte,-0.06055838289508286
Loyola MD,0.18169344487230576
Kennesaw St.,-0.5239803443588236
Savannah St.,-3.0050324053532353
North Carolina Central,-3.119353006163341
North Carolina A&T,-2.593351745811402
American,-0.9743148116540211
Norfolk St.,-0.5600461893764439
Jacksonville,-0.20623461011387512
Houston Christian,
Texas A&M Corpus Chris,-0.06254811393379556
Cal St. Northridge,0.6446808566624478
Morgan St.,-5.953365082217629
Southern,-3.8675663887648053
Cal Poly,-0.568927463612503
USC Upstate,-1.0205624606220285
Northern Arizona,-0.1294003268929853
Maine,-0.0372462305871708
Presbyterian,-0.7244033446279391
Arkansas Pine Bluff,-1.8751458750266925
VMI,-0.3718820156955429
Incarnate Word,-1.7438271604938276
Howard,-5.370967645062674
Jackson St.,-6.51388814447856
Bryant,-1.95220647778974
Alcorn St.,-4.997886449499352
Longwood,-0.599547511312217
Alabama St.,-4.00289899653705
South Carolina St.,-6.038513020709621
Northwestern St.,-0.818261492846392
Florida A&M,-3.816600397614314
Chicago St.,-0.0787243258224436
Coppin St.,-7.762856900787933
Mississippi Valley St.,-5.331262189944329
Maryland Eastern Shore,-11.298318845278382
Alabama A&M,-7.481108389024487
Delaware St.,-7.942541914141794
